"Date","Price","Open","High","Low","Vol.","Change %"
"01-12-2024","2,922.38","2,890.65","2,984.63","2,880.49","0.01K","1.14%"
"01-11-2024","2,889.41","2,896.17","2,938.88","2,773.83","0.01K","-0.01%"
"01-10-2024","2,889.68","3,120.26","3,131.85","2,874.44","","-7.42%"
"01-09-2024","3,121.22","3,059.03","3,167.29","2,996.15","","2.03%"
"01-08-2024","3,058.99","3,036.15","3,062.76","2,883.66","","1.06%"
"01-07-2024","3,026.89","2,902.64","3,029.63","2,877.79","","4.30%"
"01-06-2024","2,902.08","2,811.68","2,916.61","2,541.44","","6.76%"
"01-05-2024","2,718.29","2,701.66","2,795.11","2,619.53","","0.58%"
"01-04-2024","2,702.63","2,657.95","2,722.54","2,586.49","","2.35%"
"01-03-2024","2,640.51","2,614.73","2,661.22","2,541.51","","1.39%"
"01-02-2024","2,604.38","2,548.60","2,637.33","2,531.67","","2.47%"
"01-01-2024","2,541.49","2,489.69","2,549.85","2,458.96","","2.17%"
"01-12-2023","2,487.49","2,315.79","2,489.33","2,315.79","","7.85%"
"01-11-2023","2,306.50","2,162.02","2,308.56","2,148.91","","6.71%"
"01-10-2023","2,161.37","2,223.28","2,247.96","2,125.89","","-2.79%"
"01-09-2023","2,223.50","2,180.16","2,280.00","2,179.30","","2.04%"
"01-08-2023","2,179.05","2,214.58","2,215.03","2,155.85","","-1.44%"
"01-07-2023","2,210.78","2,143.70","2,222.19","2,014.43","","3.15%"
"01-06-2023","2,143.36","2,072.37","2,144.27","2,063.61","","3.64%"
"01-05-2023","2,068.05","1,998.70","2,079.73","1,991.85","","3.88%"
"01-04-2023","1,990.74","1,925.42","1,992.90","1,924.52","","3.68%"
"01-03-2023","1,920.16","1,911.24","1,963.27","1,868.31","","0.54%"
"01-02-2023","1,909.76","2,001.90","2,011.27","1,905.87","","-3.81%"
"01-01-2023","1,985.48","2,072.90","2,084.34","1,958.49","","-4.02%"
"01-12-2022","2,068.57","2,167.00","2,167.00","2,017.30","","-3.97%"
"01-11-2022","2,154.17","2,096.71","2,160.48","2,073.66","","3.38%"
"01-10-2022","2,083.71","2,000.74","2,085.23","1,962.44","","4.28%"
