Date,CPI
31-12-1960,1.7799
31-12-1961,1.6952
31-12-1962,3.6322
31-12-1963,2.9462
31-12-1964,13.3553
31-12-1965,9.4748
31-12-1966,10.8018
31-12-1967,13.0622
31-12-1968,3.2374
31-12-1969,-0.5841
31-12-1970,5.0923
31-12-1971,3.0799
31-12-1972,6.4421
31-12-1973,16.9408
31-12-1974,28.5987
31-12-1975,5.7484
31-12-1976,-7.6339
31-12-1977,8.3075
31-12-1978,2.523
31-12-1979,6.2757
31-12-1980,11.3461
31-12-1981,13.1125
31-12-1982,7.8907
31-12-1983,11.8681
31-12-1984,8.3189
31-12-1985,5.5564
31-12-1986,8.7297
31-12-1987,8.8011
31-12-1988,9.3835
31-12-1989,7.0743
31-12-1990,8.9712
31-12-1991,13.8702
31-12-1992,11.7878
31-12-1993,6.3269
31-12-1994,10.2479
31-12-1995,10.2249
31-12-1996,8.9772
31-12-1997,7.1643
31-12-1998,13.2308
31-12-1999,4.6698
31-12-2000,4.0094
31-12-2001,3.7793
31-12-2002,4.2972
31-12-2003,3.8059
31-12-2004,3.7673
31-12-2005,4.2463
31-12-2006,5.7965
31-12-2007,6.3729
31-12-2008,8.3493
31-12-2009,10.8824
31-12-2010,11.9894
31-12-2011,8.9118
31-12-2012,9.479
31-12-2013,10.0179
31-12-2014,6.6657
31-12-2015,4.907
31-12-2016,4.9482
31-12-2017,3.3282
31-12-2018,3.9388
31-12-2019,3.7295
31-12-2020,6.6234
31-12-2021,5.1314
31-12-2022,6.699
31-12-2023,5.6491
