observation_date,INDCPALTT01IXNBM
01-01-1960,1.52
01-02-1960,1.52
01-03-1960,1.51
01-04-1960,1.52
01-05-1960,1.53
01-06-1960,1.55
01-07-1960,1.57
01-08-1960,1.57
01-09-1960,1.56
01-10-1960,1.56
01-11-1960,1.55
01-12-1960,1.55
01-01-1961,1.53
01-02-1961,1.53
01-03-1961,1.55
01-04-1961,1.55
01-05-1961,1.55
01-06-1961,1.56
01-07-1961,1.59
01-08-1961,1.6
01-09-1961,1.6
01-10-1961,1.6
01-11-1961,1.6
01-12-1961,1.6
01-01-1962,1.59
01-02-1962,1.59
01-03-1962,1.59
01-04-1962,1.6
01-05-1962,1.61
01-06-1962,1.62
01-07-1962,1.65
01-08-1962,1.66
01-09-1962,1.66
01-10-1962,1.67
01-11-1962,1.66
01-12-1962,1.64
01-01-1963,1.62
01-02-1963,1.61
01-03-1963,1.62
01-04-1963,1.64
01-05-1963,1.65
01-06-1963,1.67
01-07-1963,1.69
01-08-1963,1.7
01-09-1963,1.71
01-10-1963,1.72
01-11-1963,1.72
01-12-1963,1.75
01-01-1964,1.75
01-02-1964,1.77
01-03-1964,1.79
01-04-1964,1.8
01-05-1964,1.83
01-06-1964,1.87
01-07-1964,1.92
01-08-1964,1.95
01-09-1964,1.98
01-10-1964,2.04
01-11-1964,2.04
01-12-1964,2.05
01-01-1965,2.06
01-02-1965,2.02
01-03-1965,1.98
01-04-1965,2
01-05-1965,2.01
01-06-1965,2.04
01-07-1965,2.1
01-08-1965,2.12
01-09-1965,2.15
01-10-1965,2.15
01-11-1965,2.16
01-12-1965,2.16
01-01-1966,2.16
01-02-1966,2.17
01-03-1966,2.17
01-04-1966,2.19
01-05-1966,2.26
01-06-1966,2.31
01-07-1966,2.35
01-08-1966,2.37
01-09-1966,2.38
01-10-1966,2.4
01-11-1966,2.42
01-12-1966,2.46
01-01-1967,2.46
01-02-1967,2.47
01-03-1967,2.5
01-04-1967,2.52
01-05-1967,2.57
01-06-1967,2.63
01-07-1967,2.66
01-08-1967,2.68
01-09-1967,2.67
01-10-1967,2.71
01-11-1967,2.7
01-12-1967,2.67
01-01-1968,2.75
01-02-1968,2.71
01-03-1968,2.66
01-04-1968,2.67
01-05-1968,2.65
01-06-1968,2.67
01-07-1968,2.66
01-08-1968,2.72
01-09-1968,2.73
01-10-1968,2.75
01-11-1968,2.69
01-12-1968,2.61
01-01-1969,2.59
01-02-1969,2.58
01-03-1969,2.59
01-04-1969,2.61
01-05-1969,2.64
01-06-1969,2.72
01-07-1969,2.73
01-08-1969,2.73
01-09-1969,2.73
01-10-1969,2.72
01-11-1969,2.7
01-12-1969,2.7
01-01-1970,2.7
01-02-1970,2.7
01-03-1970,2.73
01-04-1970,2.76
01-05-1970,2.79
01-06-1970,2.83
01-07-1970,2.84
01-08-1970,2.86
01-09-1970,2.87
01-10-1970,2.89
01-11-1970,2.89
01-12-1970,2.84
01-01-1971,2.81
01-02-1971,2.81
01-03-1971,2.81
01-04-1971,2.81
01-05-1971,2.81
01-06-1971,2.86
01-07-1971,2.9
01-08-1971,2.96
01-09-1971,2.99
01-10-1971,2.99
01-11-1971,3.01
01-12-1971,2.98
01-01-1972,2.96
01-02-1972,2.95
01-03-1972,2.96
01-04-1972,2.98
01-05-1972,2.99
01-06-1972,3.07
01-07-1972,3.13
01-08-1972,3.16
01-09-1972,3.18
01-10-1972,3.19
01-11-1972,3.21
01-12-1972,3.21
01-01-1973,3.21
01-02-1973,3.25
01-03-1973,3.3
01-04-1973,3.38
01-05-1973,3.48
01-06-1973,3.56
01-07-1973,3.71
01-08-1973,3.77
01-09-1973,3.79
01-10-1973,3.88
01-11-1973,3.95
01-12-1973,3.97
01-01-1974,4.03
01-02-1974,4.08
01-03-1974,4.2
01-04-1974,4.32
01-05-1974,4.49
01-06-1974,4.59
01-07-1974,4.75
01-08-1974,4.9
01-09-1974,5.1
01-10-1974,5.11
01-11-1974,5.05
01-12-1974,4.98
01-01-1975,4.98
01-02-1975,4.96
01-03-1975,4.9
01-04-1975,4.93
01-05-1975,4.99
01-06-1975,5.01
01-07-1975,4.95
01-08-1975,4.9
01-09-1975,4.87
01-10-1975,4.83
01-11-1975,4.81
01-12-1975,4.67
01-01-1976,4.55
01-02-1976,4.43
01-03-1976,4.37
01-04-1976,4.41
01-05-1976,4.43
01-06-1976,4.44
01-07-1976,4.54
01-08-1976,4.55
01-09-1976,4.61
01-10-1976,4.64
01-11-1976,4.67
01-12-1976,4.67
01-01-1977,4.69
01-02-1977,4.73
01-03-1977,4.76
01-04-1977,4.78
01-05-1977,4.86
01-06-1977,4.89
01-07-1977,4.96
01-08-1977,4.99
01-09-1977,5.05
01-10-1977,5.04
01-11-1977,5.04
01-12-1977,5.04
01-01-1978,4.96
01-02-1978,4.89
01-03-1978,4.9
01-04-1978,4.92
01-05-1978,4.93
01-06-1978,4.99
01-07-1978,5.04
01-08-1978,5.05
01-09-1978,5.13
01-10-1978,5.19
01-11-1978,5.19
01-12-1978,5.11
01-01-1979,5.07
01-02-1979,5.02
01-03-1979,5.07
01-04-1979,5.15
01-05-1979,5.18
01-06-1979,5.27
01-07-1979,5.39
01-08-1979,5.5
01-09-1979,5.54
01-10-1979,5.57
01-11-1979,5.62
01-12-1979,5.71
01-01-1980,5.67
01-02-1980,5.63
01-03-1980,5.7
01-04-1980,5.73
01-05-1980,5.83
01-06-1980,5.89
01-07-1980,6.02
01-08-1980,6.06
01-09-1980,6.14
01-10-1980,6.2
01-11-1980,6.27
01-12-1980,6.23
01-01-1981,6.27
01-02-1981,6.38
01-03-1981,6.41
01-04-1981,6.52
01-05-1981,6.61
01-06-1981,6.7
01-07-1981,6.83
01-08-1981,6.93
01-09-1981,6.96
01-10-1981,7.02
01-11-1981,7.05
01-12-1981,7.02
01-01-1982,7.01
01-02-1982,6.99
01-03-1982,6.98
01-04-1982,7.01
01-05-1982,7.05
01-06-1982,7.18
01-07-1982,7.3
01-08-1982,7.45
