location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
ind,mkt,monthly,vw,na,43,na,30-09-1988,0.136824738
ind,mkt,monthly,vw,na,43,na,31-10-1988,-0.024431151
ind,mkt,monthly,vw,na,43,na,30-11-1988,0.078595452
ind,mkt,monthly,vw,na,43,na,31-12-1988,-0.080867839
ind,mkt,monthly,vw,na,43,na,31-01-1989,-0.002130109
ind,mkt,monthly,vw,na,43,na,28-02-1989,-0.0366671
ind,mkt,monthly,vw,na,43,na,31-03-1989,0.038077609
ind,mkt,monthly,vw,na,60,na,30-04-1989,0.045411632
ind,mkt,monthly,vw,na,60,na,31-05-1989,-0.156373519
ind,mkt,monthly,vw,na,60,na,30-06-1989,0.090780605
ind,mkt,monthly,vw,na,60,na,31-07-1989,-0.087991164
ind,mkt,monthly,vw,na,60,na,31-08-1989,-0.000641727
ind,mkt,monthly,vw,na,60,na,30-09-1989,0.017815396
ind,mkt,monthly,vw,na,61,na,31-10-1989,0.030401638
ind,mkt,monthly,vw,na,61,na,30-11-1989,-0.066036283
ind,mkt,monthly,vw,na,77,na,31-12-1989,0.101890765
ind,mkt,monthly,vw,na,75,na,31-01-1990,-0.090015402
ind,mkt,monthly,vw,na,74,na,28-02-1990,-0.02470295
ind,mkt,monthly,vw,na,74,na,31-03-1990,0.10005294
ind,mkt,monthly,vw,na,74,na,30-04-1990,-0.01232355
ind,mkt,monthly,vw,na,75,na,31-05-1990,0.016726513
ind,mkt,monthly,vw,na,72,na,30-06-1990,0.00953716
ind,mkt,monthly,vw,na,72,na,31-07-1990,0.258513251
ind,mkt,monthly,vw,na,75,na,31-08-1990,0.117126208
ind,mkt,monthly,vw,na,75,na,30-09-1990,0.039230154
ind,mkt,monthly,vw,na,76,na,31-10-1990,-0.095818858
ind,mkt,monthly,vw,na,78,na,30-11-1990,-0.093335933
ind,mkt,monthly,vw,na,77,na,31-12-1990,-0.120139022
ind,mkt,monthly,vw,na,77,na,31-01-1991,-0.093136716
ind,mkt,monthly,vw,na,86,na,28-02-1991,0.161334141
ind,mkt,monthly,vw,na,86,na,31-03-1991,-0.03080228
ind,mkt,monthly,vw,na,86,na,30-04-1991,-0.011763536
ind,mkt,monthly,vw,na,86,na,31-05-1991,0.004734402
ind,mkt,monthly,vw,na,86,na,30-06-1991,-0.014622786
ind,mkt,monthly,vw,na,71,na,31-07-1991,0.063312559
ind,mkt,monthly,vw,na,72,na,31-08-1991,0.053283994
ind,mkt,monthly,vw,na,79,na,30-09-1991,0.053492481
ind,mkt,monthly,vw,na,85,na,31-10-1991,-0.022405163
ind,mkt,monthly,vw,na,85,na,30-11-1991,-0.007017396
ind,mkt,monthly,vw,na,86,na,31-12-1991,0.033242622
ind,mkt,monthly,vw,na,86,na,31-01-1992,0.193486894
ind,mkt,monthly,vw,na,84,na,29-02-1992,0.218356271
ind,mkt,monthly,vw,na,83,na,31-03-1992,0.595666007
ind,mkt,monthly,vw,na,74,na,30-04-1992,-0.104391639
ind,mkt,monthly,vw,na,75,na,31-05-1992,-0.297308852
ind,mkt,monthly,vw,na,74,na,30-06-1992,0.041577897
ind,mkt,monthly,vw,na,73,na,31-07-1992,-0.110474468
ind,mkt,monthly,vw,na,73,na,31-08-1992,0.098003874
ind,mkt,monthly,vw,na,85,na,30-09-1992,0.083458725
ind,mkt,monthly,vw,na,117,na,31-10-1992,-0.112427398
ind,mkt,monthly,vw,na,127,na,30-11-1992,-0.122094409
ind,mkt,monthly,vw,na,127,na,31-12-1992,0.015052607
ind,mkt,monthly,vw,na,127,na,31-01-1993,0.017416954
ind,mkt,monthly,vw,na,130,na,28-02-1993,-0.067020377
ind,mkt,monthly,vw,na,130,na,31-03-1993,-0.15964739
ind,mkt,monthly,vw,na,132,na,30-04-1993,-0.099631061
ind,mkt,monthly,vw,na,136,na,31-05-1993,0.066281163
ind,mkt,monthly,vw,na,135,na,30-06-1993,0.010038327
ind,mkt,monthly,vw,na,127,na,31-07-1993,0.070525288
ind,mkt,monthly,vw,na,127,na,31-08-1993,0.167162125
ind,mkt,monthly,vw,na,122,na,30-09-1993,0.072086186
ind,mkt,monthly,vw,na,123,na,31-10-1993,-0.043141649
ind,mkt,monthly,vw,na,126,na,30-11-1993,0.204740093
ind,mkt,monthly,vw,na,126,na,31-12-1993,0.065130714
ind,mkt,monthly,vw,na,127,na,31-01-1994,0.206699008
ind,mkt,monthly,vw,na,131,na,28-02-1994,0.028752148
ind,mkt,monthly,vw,na,134,na,31-03-1994,-0.109216169
ind,mkt,monthly,vw,na,133,na,30-04-1994,-0.007361997
ind,mkt,monthly,vw,na,131,na,31-05-1994,0.009367275
ind,mkt,monthly,vw,na,134,na,30-06-1994,0.085537522
ind,mkt,monthly,vw,na,141,na,31-07-1994,0.006733227
ind,mkt,monthly,vw,na,150,na,31-08-1994,0.07408053
ind,mkt,monthly,vw,na,150,na,30-09-1994,-0.065533186
ind,mkt,monthly,vw,na,213,na,31-10-1994,-0.100081051
ind,mkt,monthly,vw,na,215,na,30-11-1994,-0.028434654
ind,mkt,monthly,vw,na,217,na,31-12-1994,-0.060901411
ind,mkt,monthly,vw,na,224,na,31-01-1995,-0.09951652
ind,mkt,monthly,vw,na,222,na,28-02-1995,-0.058887293
ind,mkt,monthly,vw,na,254,na,31-03-1995,-0.027253401
ind,mkt,monthly,vw,na,259,na,30-04-1995,-0.059344924
ind,mkt,monthly,vw,na,265,na,31-05-1995,0.031721863
ind,mkt,monthly,vw,na,275,na,30-06-1995,-0.048484977
ind,mkt,monthly,vw,na,277,na,31-07-1995,0.025626188
ind,mkt,monthly,vw,na,278,na,31-08-1995,-0.056744387
ind,mkt,monthly,vw,na,281,na,30-09-1995,-0.050425557
ind,mkt,monthly,vw,na,407,na,31-10-1995,-0.045003486
ind,mkt,monthly,vw,na,552,na,30-11-1995,-0.144175534
ind,mkt,monthly,vw,na,552,na,31-12-1995,0.026621837
ind,mkt,monthly,vw,na,553,na,31-01-1996,-0.094549535
ind,mkt,monthly,vw,na,569,na,29-02-1996,0.230278038
ind,mkt,monthly,vw,na,572,na,31-03-1996,0.006167097
ind,mkt,monthly,vw,na,567,na,30-04-1996,0.111471443
ind,mkt,monthly,vw,na,563,na,31-05-1996,-0.053880826
ind,mkt,monthly,vw,na,565,na,30-06-1996,0.021288941
ind,mkt,monthly,vw,na,569,na,31-07-1996,-0.100702943
ind,mkt,monthly,vw,na,590,na,31-08-1996,-0.019519239
ind,mkt,monthly,vw,na,584,na,30-09-1996,-0.116341981
ind,mkt,monthly,vw,na,578,na,31-10-1996,-0.029995618
ind,mkt,monthly,vw,na,576,na,30-11-1996,-0.089263345
ind,mkt,monthly,vw,na,575,na,31-12-1996,0.06367482
ind,mkt,monthly,vw,na,575,na,31-01-1997,0.070328991
ind,mkt,monthly,vw,na,583,na,28-02-1997,0.056568153
ind,mkt,monthly,vw,na,582,na,31-03-1997,-0.058575942
ind,mkt,monthly,vw,na,580,na,30-04-1997,0.111670831
ind,mkt,monthly,vw,na,580,na,31-05-1997,-0.01596679
ind,mkt,monthly,vw,na,580,na,30-06-1997,0.156235677
ind,mkt,monthly,vw,na,588,na,31-07-1997,0.030849398
ind,mkt,monthly,vw,na,592,na,31-08-1997,-0.11050575
ind,mkt,monthly,vw,na,590,na,30-09-1997,-0.002543538
ind,mkt,monthly,vw,na,586,na,31-10-1997,-0.034218557
ind,mkt,monthly,vw,na,584,na,30-11-1997,-0.125355438
ind,mkt,monthly,vw,na,580,na,31-12-1997,-0.015245485
ind,mkt,monthly,vw,na,579,na,31-01-1998,-0.105423421
ind,mkt,monthly,vw,na,578,na,28-02-1998,0.079242667
ind,mkt,monthly,vw,na,582,na,31-03-1998,0.058626124
ind,mkt,monthly,vw,na,587,na,30-04-1998,0.038971019
ind,mkt,monthly,vw,na,583,na,31-05-1998,-0.090509043
ind,mkt,monthly,vw,na,572,na,30-06-1998,-0.164013381
ind,mkt,monthly,vw,na,570,na,31-07-1998,-0.012545214
ind,mkt,monthly,vw,na,577,na,31-08-1998,-0.043568229
ind,mkt,monthly,vw,na,578,na,30-09-1998,0.035845884
ind,mkt,monthly,vw,na,572,na,31-10-1998,-0.074017839
ind,mkt,monthly,vw,na,576,na,30-11-1998,-0.019217697
ind,mkt,monthly,vw,na,586,na,31-12-1998,0.07731292
ind,mkt,monthly,vw,na,585,na,31-01-1999,0.05539158
ind,mkt,monthly,vw,na,586,na,28-02-1999,-0.037753938
ind,mkt,monthly,vw,na,586,na,31-03-1999,0.127759563
ind,mkt,monthly,vw,na,585,na,30-04-1999,-0.137639348
ind,mkt,monthly,vw,na,580,na,31-05-1999,0.179640739
ind,mkt,monthly,vw,na,589,na,30-06-1999,0.036057591
ind,mkt,monthly,vw,na,590,na,31-07-1999,0.113130636
ind,mkt,monthly,vw,na,597,na,31-08-1999,0.124203383
ind,mkt,monthly,vw,na,599,na,30-09-1999,0.003596663
ind,mkt,monthly,vw,na,599,na,31-10-1999,-0.046860744
ind,mkt,monthly,vw,na,593,na,30-11-1999,0.062033398
ind,mkt,monthly,vw,na,589,na,31-12-1999,0.12305964
ind,mkt,monthly,vw,na,596,na,31-01-2000,0.072890814
ind,mkt,monthly,vw,na,593,na,29-02-2000,0.099162948
ind,mkt,monthly,vw,na,592,na,31-03-2000,-0.124839124
ind,mkt,monthly,vw,na,588,na,30-04-2000,-0.185232527
ind,mkt,monthly,vw,na,586,na,31-05-2000,-0.108181802
ind,mkt,monthly,vw,na,578,na,30-06-2000,0.103213128
ind,mkt,monthly,vw,na,603,na,31-07-2000,-0.10929236
ind,mkt,monthly,vw,na,606,na,31-08-2000,0.042874016
ind,mkt,monthly,vw,na,603,na,30-09-2000,-0.090181905
ind,mkt,monthly,vw,na,578,na,31-10-2000,-0.090351822
ind,mkt,monthly,vw,na,578,na,30-11-2000,0.064648321
ind,mkt,monthly,vw,na,581,na,31-12-2000,-0.013310129
ind,mkt,monthly,vw,na,578,na,31-01-2001,0.083217016
ind,mkt,monthly,vw,na,589,na,28-02-2001,-0.030410776
ind,mkt,monthly,vw,na,595,na,31-03-2001,-0.218070873
ind,mkt,monthly,vw,na,581,na,30-04-2001,-0.014291003
ind,mkt,monthly,vw,na,581,na,31-05-2001,0.054321744
ind,mkt,monthly,vw,na,592,na,30-06-2001,-0.073904662
ind,mkt,monthly,vw,na,579,na,31-07-2001,-0.036827738
ind,mkt,monthly,vw,na,586,na,31-08-2001,-0.012758447
ind,mkt,monthly,vw,na,590,na,30-09-2001,-0.144067513
ind,mkt,monthly,vw,na,631,na,31-10-2001,0.060026917
ind,mkt,monthly,vw,na,628,na,30-11-2001,0.114302195
ind,mkt,monthly,vw,na,626,na,31-12-2001,-0.004796937
ind,mkt,monthly,vw,na,625,na,31-01-2002,0.022393931
ind,mkt,monthly,vw,na,627,na,28-02-2002,0.090379151
ind,mkt,monthly,vw,na,629,na,31-03-2002,0.028702171
ind,mkt,monthly,vw,na,634,na,30-04-2002,0.012928773
ind,mkt,monthly,vw,na,632,na,31-05-2002,-0.030577043
ind,mkt,monthly,vw,na,633,na,30-06-2002,0.046727206
ind,mkt,monthly,vw,na,643,na,31-07-2002,-0.076399223
ind,mkt,monthly,vw,na,650,na,31-08-2002,0.05152195
ind,mkt,monthly,vw,na,648,na,30-09-2002,-0.058851494
ind,mkt,monthly,vw,na,643,na,31-10-2002,-0.001298371
ind,mkt,monthly,vw,na,641,na,30-11-2002,0.07081777
ind,mkt,monthly,vw,na,643,na,31-12-2002,0.045317753
ind,mkt,monthly,vw,na,644,na,31-01-2003,-0.020409196
ind,mkt,monthly,vw,na,639,na,28-02-2003,0.018564762
ind,mkt,monthly,vw,na,635,na,31-03-2003,-0.077579557
ind,mkt,monthly,vw,na,651,na,30-04-2003,-0.000097125
ind,mkt,monthly,vw,na,652,na,31-05-2003,0.164750121
