location,name,freq,weighting,n_factors,date,ret
ind,risk_free,monthly,vw,2,30-11-1993,0.6114321
ind,risk_free,monthly,vw,2,31-12-1993,0.61301005
ind,risk_free,monthly,vw,2,31-01-1994,0.85679692
ind,risk_free,monthly,vw,2,28-02-1994,0.6200174
ind,risk_free,monthly,vw,2,31-03-1994,0.61838312
ind,risk_free,monthly,vw,2,30-04-1994,0.56198634
ind,risk_free,monthly,vw,2,31-05-1994,0.62980846
ind,risk_free,monthly,vw,2,30-06-1994,0.64711683
ind,risk_free,monthly,vw,2,31-07-1994,0.67986136
ind,risk_free,monthly,vw,2,31-08-1994,0.71637083
ind,risk_free,monthly,vw,2,30-09-1994,0.66397986
ind,risk_free,monthly,vw,2,31-10-1994,0.72884106
ind,risk_free,monthly,vw,2,30-11-1994,0.66707589
ind,risk_free,monthly,vw,2,31-12-1994,0.74366995
ind,risk_free,monthly,vw,2,31-01-1995,0.93324697
ind,risk_free,monthly,vw,2,28-02-1995,0.82128936
ind,risk_free,monthly,vw,2,31-03-1995,0.94583886
ind,risk_free,monthly,vw,2,30-04-1995,0.87022231
ind,risk_free,monthly,vw,2,31-05-1995,1.02123421
ind,risk_free,monthly,vw,2,30-06-1995,0.96228981
ind,risk_free,monthly,vw,2,31-07-1995,1.02767381
ind,risk_free,monthly,vw,2,31-08-1995,1.0163912
ind,risk_free,monthly,vw,2,30-09-1995,0.94479448
ind,risk_free,monthly,vw,2,31-10-1995,1.05628457
ind,risk_free,monthly,vw,2,30-11-1995,1.00586115
ind,risk_free,monthly,vw,2,31-12-1995,0.97277559
ind,risk_free,monthly,vw,2,31-01-1996,1.10769209
ind,risk_free,monthly,vw,2,29-02-1996,0.97277559
ind,risk_free,monthly,vw,2,31-03-1996,0.97277559
ind,risk_free,monthly,vw,2,30-04-1996,1.06088157
ind,risk_free,monthly,vw,2,31-05-1996,0.99621186
ind,risk_free,monthly,vw,2,30-06-1996,0.9010752
ind,risk_free,monthly,vw,2,31-07-1996,0.91630918
ind,risk_free,monthly,vw,2,31-08-1996,0.72874578
ind,risk_free,monthly,vw,2,30-09-1996,0.81453226
ind,risk_free,monthly,vw,2,31-10-1996,0.80162281
ind,risk_free,monthly,vw,2,30-11-1996,0.57013438
ind,risk_free,monthly,vw,2,31-12-1996,0.68764139
ind,risk_free,monthly,vw,2,31-01-1997,0.66601032
ind,risk_free,monthly,vw,2,28-02-1997,0.57662402
ind,risk_free,monthly,vw,2,31-03-1997,0.6480616
ind,risk_free,monthly,vw,2,30-04-1997,0.52777575
ind,risk_free,monthly,vw,2,31-05-1997,0.51590129
ind,risk_free,monthly,vw,2,30-06-1997,0.56696974
ind,risk_free,monthly,vw,2,31-07-1997,0.56323761
ind,risk_free,monthly,vw,2,31-08-1997,0.51052479
ind,risk_free,monthly,vw,2,30-09-1997,0.57386681
ind,risk_free,monthly,vw,4,31-10-1997,0.53745552
ind,risk_free,monthly,vw,4,30-11-1997,0.47988476
ind,risk_free,monthly,vw,4,31-12-1997,0.61284728
ind,risk_free,monthly,vw,4,31-01-1998,0.57551052
ind,risk_free,monthly,vw,4,28-02-1998,0.54389296
ind,risk_free,monthly,vw,4,31-03-1998,0.62183307
ind,risk_free,monthly,vw,4,30-04-1998,0.58285547
ind,risk_free,monthly,vw,4,31-05-1998,0.56039111
ind,risk_free,monthly,vw,4,30-06-1998,0.62183307
ind,risk_free,monthly,vw,4,31-07-1998,0.62467681
ind,risk_free,monthly,vw,4,31-08-1998,0.63392558
ind,risk_free,monthly,vw,4,30-09-1998,0.68219677
ind,risk_free,monthly,vw,4,31-10-1998,0.77216338
ind,risk_free,monthly,vw,4,30-11-1998,0.75244673
ind,risk_free,monthly,vw,4,31-12-1998,0.77126182
