location,name,freq,weighting,n_factors,date,ret
ind,size,monthly,vw,2,1988-09-30,0.088550634
ind,size,monthly,vw,2,1988-10-31,0.094335549
ind,size,monthly,vw,2,1988-11-30,0.06279566
ind,size,monthly,vw,2,1988-12-31,-0.001086093
ind,size,monthly,vw,2,1989-01-31,-0.026081951
ind,size,monthly,vw,2,1989-02-28,0.022142583
ind,size,monthly,vw,2,1989-03-31,0.023143599
ind,size,monthly,vw,2,1989-04-30,0.009406941
ind,size,monthly,vw,2,1989-05-31,0.024554048
ind,size,monthly,vw,2,1989-06-30,-0.08260479
ind,size,monthly,vw,2,1989-07-31,0.027675999
ind,size,monthly,vw,2,1989-08-31,0.060600713
ind,size,monthly,vw,2,1989-09-30,0.027934031
ind,size,monthly,vw,2,1989-10-31,-0.032729214
ind,size,monthly,vw,2,1989-11-30,-0.001147388
ind,size,monthly,vw,2,1989-12-31,0.050585419
ind,size,monthly,vw,2,1990-01-31,-0.030356463
ind,size,monthly,vw,2,1990-02-28,-0.028312298
ind,size,monthly,vw,2,1990-03-31,-0.028525464
ind,size,monthly,vw,2,1990-04-30,0.01920357
ind,size,monthly,vw,2,1990-05-31,0.013929248
ind,size,monthly,vw,2,1990-06-30,0.000556551
ind,size,monthly,vw,2,1990-07-31,0.003306884
ind,size,monthly,vw,2,1990-08-31,-0.030523675
ind,size,monthly,vw,2,1990-09-30,-0.071411535
ind,size,monthly,vw,2,1990-10-31,0.000115166
ind,size,monthly,vw,2,1990-11-30,-0.013118827
ind,size,monthly,vw,2,1990-12-31,0.079260375
ind,size,monthly,vw,2,1991-01-31,0.00210347
ind,size,monthly,vw,2,1991-02-28,0.065534451
ind,size,monthly,vw,2,1991-03-31,0.011704014
ind,size,monthly,vw,2,1991-04-30,0.030765084
ind,size,monthly,vw,2,1991-05-31,0.02395064
ind,size,monthly,vw,2,1991-06-30,-0.003838048
ind,size,monthly,vw,2,1991-07-31,-0.068501253
ind,size,monthly,vw,2,1991-08-31,0.055711584
ind,size,monthly,vw,2,1991-09-30,0.00492632
ind,size,monthly,vw,2,1991-10-31,0.015540994
ind,size,monthly,vw,2,1991-11-30,0.149264872
ind,size,monthly,vw,2,1991-12-31,-0.147263285
ind,size,monthly,vw,2,1992-01-31,-0.05781752
ind,size,monthly,vw,2,1992-02-29,-0.162248505
ind,size,monthly,vw,2,1992-03-31,-0.236939643
ind,size,monthly,vw,2,1992-04-30,0.015395476
ind,size,monthly,vw,2,1992-05-31,0.046249773
ind,size,monthly,vw,2,1992-06-30,0.057458014
ind,size,monthly,vw,2,1992-07-31,0.033856036
ind,size,monthly,vw,2,1992-08-31,0.018510911
ind,size,monthly,vw,2,1992-09-30,0.03127155
ind,size,monthly,vw,2,1992-10-31,-0.025457724
ind,size,monthly,vw,2,1992-11-30,0.069036239
ind,size,monthly,vw,2,1992-12-31,-0.014009461
ind,size,monthly,vw,2,1993-01-31,-0.015124453
ind,size,monthly,vw,2,1993-02-28,-0.024900964
ind,size,monthly,vw,2,1993-03-31,-0.040203669
ind,size,monthly,vw,2,1993-04-30,0.08507438
ind,size,monthly,vw,2,1993-05-31,0.010187564
ind,size,monthly,vw,2,1993-06-30,0.03966573
ind,size,monthly,vw,2,1993-07-31,0.017492138
ind,size,monthly,vw,2,1993-08-31,-0.056081495
ind,size,monthly,vw,2,1993-09-30,0.006154163
ind,size,monthly,vw,2,1993-10-31,0.021527919
ind,size,monthly,vw,2,1993-11-30,-0.050553405
ind,size,monthly,vw,2,1993-12-31,0.035028031
ind,size,monthly,vw,2,1994-01-31,-0.110773592
ind,size,monthly,vw,2,1994-02-28,0.067250072
ind,size,monthly,vw,2,1994-03-31,-0.002189153
ind,size,monthly,vw,2,1994-04-30,-0.001531279
ind,size,monthly,vw,2,1994-05-31,0.035652267
